word,meaning,partOfSpeech,example,example_ja,leapPart,leapNumber,tags
stick,①～を貼り付ける ②（舌や脚）を出す ③（to）（主義などを）守る，固執する,他動詞,①Stick the label on the bottle. ②Stick out your tongue. ③Stick to your plan.,①ラベルをビンに貼り付けてください。 ②舌を出してください。 ③計画を守ってください。,Part2,555,
thief,泥棒,名詞,A thief stole her bag on the train.,電車で泥棒が彼女のバッグを盗んだ。,Part2,556,
crime,犯罪,名詞,Stealing is a crime.,盗むことは犯罪だ。,Part2,557,
motive,動機,名詞,What was the motive for the crime?,その犯罪の動機は何でしたか？,Part2,558,
punish,（（人）for ～）（人）を（～の理由で）罰する,他動詞,He was punished for cheating on the exam.,彼は試験でカンニングしたことで罰せられた。,Part2,559,
violate,①（法律など）に違反する ②（権利など）を侵害する,他動詞,①Speeding violates traffic law. ②He violated her privacy.,①スピード違反は交通法に違反する。 ②彼は彼女のプライバシーを侵害した。,Part2,560,
legal,①合法の ②法律の，法的な,形容詞,①Is it legal to park here? ②She works for a legal firm.,①ここに駐車するのは合法ですか？ ②彼女は法律事務所で働いている。,Part2,561,
enemy,①敵<可算> ②（形容詞的に）敵の,名詞,He made enemies by being rude.,無礼であることで彼は敵を作った。,Part2,562,
conflict,①対立，紛争 ②葛藤 ③（with ～）（～と）矛盾する,名詞,①The two countries are in conflict. ②He feels inner conflict. ③Her story conflicts with mine.,①その2か国は紛争中だ。 ②彼は内なる葛藤を感じている。 ③彼女の話は私のものと矛盾する。,Part2,563,
compete,①競争する ②（in ～）（競技などに）参加する,自動詞,She competed in the national swimming contest.,彼女は全国水泳大会に参加した。,Part2,564,
defeat,①（相手）を打ち負かす ②敗北,他動詞,①Our team defeated the rivals. ②They suffered a defeat.,①私たちのチームはライバルを打ち負かした。 ②彼らは敗北を被った。,Part2,565,
victim,犠牲者,名詞,The victims of the flood need our help.,洪水の犠牲者たちは私たちの助けを必要としている。,Part2,566,
obstacle,（to ～）（～に対する）障害〈可算〉,名詞,Fear is a big obstacle to success.,恐怖は成功への大きな障害だ。,Part2,567,
harm,①害〈不可算〉 ②～に害を与える,名詞,①Smoking does great harm to your lungs. ②Chemicals can harm the soil.,①喫煙は肺に大きな害を与える。 ②化学物質は土壌に害を与える。,Part2,568,
invade,①（プライバシーなど）を侵害する ②（国など）に侵入する，～を侵略する,他動詞,①He always invades my privacy. ②Enemy forces invaded the country.,①彼はいつも私のプライバシーを侵害する。 ②敵軍がその国に侵略した。,Part2,569,
endanger,～を危険にさらす,他動詞,Pollution endangers many species.,汚染は多くの種を危険にさらす。,Part2,570,
interrupt,①～を中断する ②～を遮る ③人の話を遮る,他動詞,①Don't interrupt me while I'm speaking. ②The storm interrupted the game. ③It's rude to interrupt.,①話しているときに遮らないでください。 ②嵐がゲームを中断した。 ③人の話を遮るのは失礼だ。,Part2,571,
spoil,①～を台無しにする ②（子ども）を甘やかす,他動詞,①Rain spoiled our picnic. ②His parents spoil him.,①雨がピクニックを台無しにした。 ②彼の両親は彼を甘やかしている。,Part2,572,
spectator,観客〈可算〉,名詞,Thousands of spectators watched the game.,数千人の観客が試合を観戦した。,Part2,573,
relative,①（家族も含めて）親戚 ②相対的な,名詞,①She visited her relatives abroad. ②Success is relative.,①彼女は海外の親戚を訪ねた。 ②成功とは相対的なものだ。,Part2,574,
departure,①出発 ②逸脱,名詞,The departure time is 9:00 a.m.,出発時刻は午前9時だ。,Part2,575,
destination,①目的地 ②（tourist ―）観光地，旅行先（①②ともに<可算>）,名詞,Paris is her dream destination.,パリは彼女の夢の目的地だ。,Part2,576,
transportation,交通機関〈不可算〉,名詞,Public transportation is cheap here.,ここでは公共交通機関が安い。,Part2,577,
vehicle,①（エンジンの付いた）車両 ②（思想，意見の）伝達手段,名詞,Only emergency vehicles may park here.,緊急車両のみここに駐車できる。,Part2,578,
baggage,（旅行時の）手荷物<不可算>,名詞,Please do not leave your baggage unattended.,手荷物を放置しないでください。,Part2,579,
via,①～経由で ②～によって,前置詞,We flew to New York via London.,私たちはロンドン経由でニューヨークへ飛んだ。,Part2,580,
lead,①（to ～）（～に）至る ②（a ～ life）（～な生活）を送る ③（A to do）A に～させる ④鉛，（シャーペンなどの）芯,自動詞,①This path leads to the beach. ②She leads a busy life. ③His advice led me to change my mind. ④Lead is a heavy metal.,①この道は浜辺に至る。 ②彼女は忙しい生活を送っている。 ③彼のアドバイスが私に考えを変えさせた。 ④鉛は重い金属だ。,Part2,581,
rise,①上がる，昇る ②上昇,自動詞,①The sun rises in the east. ②There was a rise in prices.,①太陽は東から昇る。 ②物価の上昇があった。,Part2,582,
flow,①流れる ②流れ,自動詞,①Water flows downhill. ②The flow of traffic was slow.,①水は下り坂を流れる。 ②交通の流れが遅かった。,Part2,583,
burst,①破裂する，爆発する ②（慣用句で）突然～し始める,自動詞,①The balloon burst with a loud pop. ②She burst into tears.,①風船が大きな音で破裂した。 ②彼女は突然泣き始めた。,Part2,584,
melt,①（固体が）溶ける ②～を溶かす,自動詞,①The ice melted in the sun. ②Melt the butter in a pan.,①氷が日差しで溶けた。 ②フライパンでバターを溶かしてください。,Part2,585,
commute,①通勤する ②通勤（距離）,自動詞,She commutes two hours each way to work.,彼女は片道2時間かけて通勤する。,Part2,586,
accompany,①（人が主語）～と一緒に行く ②（物が主語）～に伴う,他動詞,①May I accompany you to the station? ②High inflation is accompanied by low growth.,①駅まで一緒に行っていいですか？ ②高インフレには低成長が伴う。,Part2,587,
emit,（ガス、熱、光など）を排出する,他動詞,Cars emit greenhouse gases.,車は温室効果ガスを排出する。,Part2,588,
progress,①進歩，前進 〈不可算〉 ②進歩する，進む,名詞,①The patient is making good progress. ②The project is progressing well.,①患者は順調に回復している。 ②プロジェクトは順調に進んでいる。,Part2,589,
advance,①進歩，前進 〈可算〉 ②（軍隊などが）前進する，進歩する ③事前の,名詞,①Science has made great advances. ②The soldiers advanced toward the city. ③Buy your tickets in advance.,①科学は大きな進歩を遂げた。 ②兵士たちは都市に向けて前進した。 ③事前にチケットを買ってください。,Part2,590,
deal,①（with～）（～を）扱う ②取り引き,自動詞,①She deals with customer complaints. ②He made a good deal on the car.,①彼女は顧客の苦情を扱っている。 ②彼は車で良い取り引きをした。,Part2,591,
handle,①～を扱う ②（手で）～を扱う，触れる ③取っ手,他動詞,①He handled the crisis calmly. ②Handle the glass with care. ③Turn the handle to open the door.,①彼は危機を落ち着いて扱った。 ②グラスを丁寧に扱ってください。 ③取っ手を回してドアを開けてください。,Part2,592,
treat,①（副詞を伴って）～を扱う ②（病人，病気）を治療する ③（A to B)（A)に（Bを）おごる ④楽しみ,他動詞,①He treats everyone fairly. ②The doctor treated her cold. ③I'll treat you to dinner. ④Going to the theme park was a real treat.,①彼は全員を公平に扱う。 ②医者は彼女の風邪を治療した。 ③夕食をおごります。 ④テーマパークに行くのは本当に楽しみだった。,Part2,593,
clue,（to ～）（～の）手がかり,名詞,The footprint was the only clue to the mystery.,足跡がその謎への唯一の手がかりだった。,Part2,594,
restrict,～を制限する,他動詞,Photography is restricted in this area.,この区域では撮影が制限されている。,Part2,595,
limit,①（数量，範囲）を制限する ②制限,他動詞,①The speed limit here is 40 km/h. ②We must limit our use of plastic.,①ここの速度制限は時速40kmだ。 ②プラスチックの使用を制限しなければならない。,Part2,596,
forbid,～を禁じる,他動詞,Smoking is forbidden in this building.,この建物内での喫煙は禁じられている。,Part2,597,
ban,①禁止〈可算〉 ②～を禁止する,名詞,①There is a ban on mobile phones in class. ②The country banned plastic bags.,①授業中の携帯電話の禁止がある。 ②その国はビニール袋を禁止した。,Part2,598,
refuse,①（to do）～するのを拒む ②～を断る,他動詞,①He refused to answer. ②She refused his offer.,①彼は答えることを拒んだ。 ②彼女は彼の申し出を断った。,Part2,599,
reject,①～を拒絶する ②（人）を拒む、除け者にする,他動詞,①He rejected the idea. ②She felt rejected by her classmates.,①彼はそのアイデアを拒絶した。 ②彼女はクラスメートに除け者にされていると感じた。,Part2,600,
persuade,（A to do）（A）を説得して～させる,他動詞,She persuaded her parents to let her study abroad.,彼女は両親を説得して留学させてもらった。,Part2,601,
convince,①（A of B）（A）に（Bを）確信させる，（A that SV）（A）に（～を）確信させる ②（A to do）（A）を説得して～させる,他動詞,①He convinced me of his honesty. ②She convinced him to try again.,①彼は私に自分の正直さを確信させた。 ②彼女は彼を説得して再挑戦させた。,Part2,602,
inspire,①～を奮起させる，かき立てる ②（作品）に創作のヒントを与える,他動詞,①His story inspired us to keep going. ②Nature inspired her paintings.,①彼の話が私たちに進み続ける気持ちをかき立てた。 ②自然が彼女の絵に創作のヒントを与えた。,Part2,603,
discourage,～のやる気をなくさせる，落胆させる,他動詞,Don't let one failure discourage you.,一度の失敗でやる気をなくさないでください。,Part2,604,
promote,①～を促進する ②（be［get］―d to ～）（～に）出世［昇進］する,他動詞,①The program promotes healthy eating. ②She was promoted to team leader.,①そのプログラムは健康的な食事を促進する。 ②彼女はチームリーダーに昇進した。,Part2,605,
boost,～を促進させる，増大させる,他動詞,Exercise can boost your energy levels.,運動はエネルギーレベルを促進させることができる。,Part2,606,
expand,①拡大する，膨張する ②～を拡大する，膨張させる,自動詞,①The company wants to expand overseas. ②He expanded his business.,①その会社は海外に拡大したい。 ②彼はビジネスを拡大した。,Part2,607,
extend,①～を延長する，広げる ②伸びる，広がる,他動詞,①Can we extend the deadline? ②The forest extends for miles.,①締め切りを延長できますか？ ②その森は何マイルも広がっている。,Part2,608,
broaden,①～を広げる ②広がる,他動詞,①Travel broadens your mind. ②The gap between rich and poor is broadening.,①旅行は心を広げる。 ②富裕層と貧困層の差が広がっている。,Part2,609,
spread,①～を広げる ②広がる ③広がり,他動詞,①She spread butter on the bread. ②The news spread quickly. ③The disease has a wide spread.,①彼女はパンにバターを広げた。 ②そのニュースはすぐに広まった。 ③その病気は広い広がりを持つ。,Part2,610,
tie,①（荷物など）を縛る ②（ひも，ネクタイなど）を結ぶ ③ネクタイ（＝necktie)④（家族などの）きずな,他動詞,①He tied the box with string. ②She tied her shoelaces. ③He loosened his tie. ④Family ties are strong.,①彼はひもで箱を縛った。 ②彼女は靴ひもを結んだ。 ③彼はネクタイを緩めた。 ④家族のきずなは強い。,Part2,611,
fasten,①～を固定する ②（ボタンなど）をかける，留める,他動詞,①Fasten your seatbelt. ②Please fasten your coat.,①シートベルトを固定してください。 ②コートのボタンをかけてください。,Part2,612,
fix,①～を固定する ②～を修理する ③（主に 〈米〉）（食事，飲み物）を作る,他動詞,①Fix the shelf to the wall. ②Can you fix my broken phone? ③She fixed a quick lunch for us.,①棚を壁に固定してください。 ②壊れた電話を修理できますか？ ③彼女は私たちに手早い昼食を作った。,Part2,613,
install,①（機械など）を設置する ②～をインストールする,他動詞,①He installed a new app. ②The workers installed the air conditioner.,①彼は新しいアプリをインストールした。 ②作業員がエアコンを設置した。,Part2,614,
resist,①～を我慢する ②～に抵抗する,他動詞,①I couldn't resist eating the cake. ②The protesters resisted the police.,①ケーキを食べるのを我慢できなかった。 ②抗議者たちは警察に抵抗した。,Part2,615,
obey,～に従う,他動詞,You must obey the traffic laws.,交通法規に従わなければならない。,Part2,616,
engage,①（in ～）（活動に）従事する ②（with ～）（理解のために、人や考えに）関与する ③（関心、注意など）を引く,自動詞,①She engaged in volunteer work. ②It's important to engage with new ideas. ③The speaker engaged the audience's attention.,①彼女はボランティア活動に従事した。 ②新しい考えに関与することが大切だ。 ③スピーカーは聴衆の注意を引いた。,Part2,617,
bump,（into ～）①（～に）ぶつかる ②（～に）偶然出会う,自動詞,①He bumped into the wall. ②I bumped into an old friend yesterday.,①彼は壁にぶつかった。 ②昨日、旧友に偶然出会った。,Part2,618,
bend,①身をかがめる ②～を曲げる ③（道の）カーブ,自動詞,①She bent down to pick up the coin. ②He bent the wire into a circle. ③Take the second bend on the right.,①彼女はコインを拾うために身をかがめた。 ②彼はワイヤーを曲げて丸にした。 ③右の2つ目のカーブを曲がってください。,Part2,619,
hug,①（人）を （愛情こめて）抱きしめる ②抱擁,他動詞,①She hugged her daughter tightly. ②He gave me a big hug.,①彼女は娘をぎゅっと抱きしめた。 ②彼は私に大きな抱擁をした。,Part2,620,
stare,①（at ～）（～を）じっと見つめる ②凝視,自動詞,①Don't stare at people. ②She met his stare.,①人をじっと見つめてはいけない。 ②彼女は彼の凝視を受け止めた。,Part2,621,
gaze,①（at［on］～）（～を）見つめる ②視線，凝視,自動詞,①He gazed at the stars for a long time. ②She felt his gaze on her.,①彼は長い間星を見つめた。 ②彼女は彼の視線を感じた。,Part2,622,
glance,①ちらりと見る ②ちらりと見ること,自動詞,"①She glanced at her watch. ②At a glance, everything looked fine.",①彼女は時計をちらりと見た。 ②一目見ただけでは何も問題ないように見えた。,Part2,623,
glimpse,①～がちらりと見える ②ちらりと見えること,他動詞,①I glimpsed a fox in the bushes. ②I caught a glimpse of the actor.,①茂みでキツネがちらりと見えた。 ②その俳優がちらりと見えた。,Part2,624,
stretch,①（手足や体）を伸ばす，広げる ②伸びる，広がる ③（ひと続きの）広がり,他動詞,①He stretched his arms above his head. ②The desert stretched for miles. ③There is a long stretch of flat land.,①彼は頭の上に手を伸ばした。 ②砂漠は何マイルも広がっていた。 ③平らな土地のひと続きの広がりがある。,Part2,625,
stumble,①つまずく ②（across［into］～）（～に）偶然出会う,自動詞,①She stumbled on a stone. ②He stumbled across an old diary.,①彼女は石につまずいた。 ②彼は偶然古い日記に出会った。,Part2,626,
press,①～を（強く）押す ②～を押しつける，勧める ③（the ―）報道機関，出版,他動詞,①Press the button to start. ②She pressed him to accept the offer. ③Freedom of the press is important.,①スタートするためにボタンを押してください。 ②彼女は彼に申し出を受け入れるよう勧めた。 ③報道の自由は重要だ。,Part2,627,
drag,～を（ずるずると）引きずる,他動詞,He dragged his heavy bag across the floor.,彼は重いバッグを床を引きずった。,Part2,628,
lean,①（against［on］～）（～に）寄りかかる ②（forward）身を乗り出す ③（健康的に）痩せている,自動詞,①She leaned against the wall. ②He leaned forward to hear better. ③The athlete has a lean body.,①彼女は壁に寄りかかった。 ②彼はより聞こえやすいように身を乗り出した。 ③その運動選手は健康的に痩せている。,Part2,629,
scratch,①～をひっかく，かく ②ひっかき傷,他動詞,①The cat scratched my arm. ②He has a deep scratch on his hand.,①猫が私の腕をひっかいた。 ②彼の手に深いひっかき傷がある。,Part2,630,
bow,①おじぎする ②おじぎ,自動詞,①She bowed to greet the guest. ②He gave a deep bow on stage.,①彼女はお客に挨拶するためにおじぎをした。 ②彼は舞台で深くおじぎをした。,Part2,631,
nod,①うなずく ②（off）うたた寝する ③うなずき，会釈,自動詞,①He nodded to show he understood. ②She nodded off during the lecture. ③She gave a friendly nod.,①彼は理解したことを示すためにうなずいた。 ②彼女は講義中にうたた寝した。 ③彼女は親しみをこめて会釈した。,Part2,632,
sigh,①ため息をつく ②ため息,自動詞,①She sighed with relief. ②He let out a deep sigh.,①彼女は安堵のため息をついた。 ②彼は深いため息をついた。,Part2,633,
yawn,①あくびをする ②あくび,自動詞,①He yawned during the meeting. ②She stifled a yawn.,①彼は会議中にあくびをした。 ②彼女はあくびを噛み殺した。,Part2,634,
sneeze,くしゃみをする,自動詞,He sneezed three times in a row.,彼は続けて3回くしゃみをした。,Part2,635,
bury,①～を埋める ②～を埋葬する,他動詞,①They buried the dog in the garden. ②She buried her face in her hands.,①彼らは庭に犬を埋めた。 ②彼女は両手に顔を埋めた。,Part2,636,
perform,①～を遂行する ②～を演じる，演奏する ③（副詞を伴い）やる,他動詞,①She performed well on the exam. ②He performed a magic trick. ③The machine performs well under pressure.,①彼女は試験でうまくやった。 ②彼は手品を演じた。 ③その機械はプレッシャーの下でもうまく動く。,Part2,637,
adopt,①～を採用する ②～を養子にする、（動物など）を引き取る,他動詞,①The school adopted a new teaching method. ②They adopted a child.,①学校は新しい教授法を採用した。 ②彼らは子どもを養子にした。,Part2,638,
escape,①（from ～）（～から）逃れる ②～を避ける ③逃亡,自動詞,①The prisoner escaped from jail. ②There is no escaping this problem. ③The escape was carefully planned.,①囚人は刑務所から逃れた。 ②この問題を避けることはできない。 ③逃亡は慎重に計画された。,Part2,639,
scatter,①～をまき散らす ②（群衆などが）散る,他動詞,①She scattered seeds in the garden. ②The crowd scattered when it rained.,①彼女は庭に種をまき散らした。 ②雨が降ると群衆は散った。,Part2,640,
fold,①～を折る ②（up）～を折りたたむ ③（腕）を組む ④折りたためる,他動詞,①She folded the letter and put it in the envelope. ②He folded up the table. ③She folded her arms. ④The chair folds for easy storage.,①彼女は手紙を折って封筒に入れた。 ②彼はテーブルを折りたたんだ。 ③彼女は腕を組んだ。 ④その椅子は収納しやすいように折りたためる。,Part2,641,
hang,①～を掛ける ②～を絞首刑にする ③ぶら下がる,他動詞,①Hang the picture on the wall. ②The murderer was hanged. ③A rope hung from the ceiling.,①絵を壁に掛けてください。 ②その殺人犯は絞首刑にされた。 ③天井からロープがぶら下がっていた。,Part2,642,
release,①～を解放する ②（映画など）を発表する，出す ③（ガスなど）を放出する ④解放，発売,他動詞,①He was released from prison. ②The band released a new album. ③The factory releases waste into the river. ④The prisoner begged for release.,①彼は刑務所から解放された。 ②そのバンドは新しいアルバムを出した。 ③工場が廃水を川に放出している。 ④囚人は解放を嘆願した。,Part2,643,
strike,①～を打つ ②（災害が）～を襲う ③（考えが人）に思い浮かぶ ④（A as B）（A）に（B という）印象を与える ⑤ストライキ,他動詞,①He struck the ball hard. ②An earthquake struck the city. ③It struck me that she was right. ④He strikes me as honest. ⑤Workers went on strike.,①彼はボールを強く打った。 ②地震が都市を襲った。 ③彼女が正しいという考えが思い浮かんだ。 ④彼は誠実という印象を与える。 ⑤労働者たちはストライキに入った。,Part2,644,
beat,①～を打つ ②～に勝つ,他動詞,①Her heart was beating fast. ②Our team beat the champions.,①彼女の心臓は速く打っていた。 ②私たちのチームはチャンピオンに勝った。,Part2,645,
protect,～を守る，保護する,他動詞,We must protect the environment for future generations.,私たちは将来の世代のために環境を守らなければならない。,Part2,646,
twist,①～を（ねじ）曲げる ②（体の一部）をひねる，捻挫する,他動詞,①She twisted the cap off the bottle. ②He twisted his ankle on the stairs.,①彼女はボトルのキャップをねじって外した。 ②彼は階段で足首を捻挫した。,Part2,647,
skip,～をサボる，抜かす,他動詞,①He skipped the introduction. ②She skipped school yesterday.,①彼は序論を抜かした。 ②彼女は昨日学校をサボった。,Part2,648,
expose,①～をさらす ②（秘密，犯罪など）を暴露する,他動詞,①Don't expose your skin to strong sunlight. ②The journalist exposed the scandal.,①強い日差しに肌をさらさないでください。 ②ジャーナリストがスキャンダルを暴露した。,Part2,649,
stir,①（液体など）を混ぜる ②（―up ）（感情など）を呼び覚ます,他動詞,①Stir the soup while it heats. ②His speech stirred up strong feelings.,①温めながらスープを混ぜてください。 ②彼のスピーチが強い感情を呼び覚ました。,Part2,650,
shake,①～を振る ②～を揺さぶる ③（恐怖，寒さで）震える,他動詞,①She shook the bottle before opening it. ②The explosion shook the building. ③He shook with fear.,①彼女は開ける前にボトルを振った。 ②爆発が建物を揺さぶった。 ③彼は恐怖で震えた。,Part2,651,
polish,～を磨く,他動詞,He polished his shoes until they shone.,彼は靴が輝くまで磨いた。,Part2,652,
attend,①～に出席する，通う ②（to ～）（～に）注意を向ける ③（to ～）（～を）世話する,他動詞,①All students must attend the ceremony. ②Please attend to the instructions. ③A nurse attended to the patient.,①すべての生徒が式典に出席しなければならない。 ②指示に注意を向けてください。 ③看護師が患者の世話をした。,Part2,653,
imitate,～をまねる,他動詞,Children often imitate their parents.,子どもたちはよく親をまねる。,Part2,654,
conduct,①～を行う ②（電気，熱）を伝える ③行為,他動詞,①The scientist conducted an experiment. ②Copper conducts electricity well. ③His conduct was unacceptable.,①科学者が実験を行った。 ②銅は電気をよく伝える。 ③彼の行為は受け入れられなかった。,Part2,655,
struggle,①苦闘する，もがく ②苦闘，もがくこと〈可算〉,自動詞,①She struggled to understand the lecture. ②The journey was a real struggle.,①彼女は講義を理解しようともがいた。 ②その旅は本当の苦闘だった。,Part2,656,
burn,①焼ける ②～を燃やす,自動詞,①The forest burned for three days. ②They burned the old documents.,①その森は3日間燃えた。 ②彼らは古い書類を燃やした。,Part2,657,
cheat,①ごまかす ②～をだます,自動詞,①He cheated on the test. ②She cheated him out of his money.,①彼はテストでごまかした。 ②彼女は彼からお金をだまし取った。,Part2,658,
participate,（in ～）（～に）参加する,自動詞,All students are encouraged to participate in club activities.,すべての生徒がクラブ活動に参加することが勧められている。,Part2,659,
exist,存在する,自動詞,Does life exist on other planets?,他の惑星に生命は存在するのでしょうか？,Part2,660,
arise,生じる,自動詞,Problems often arise when people don't communicate.,人々がコミュニケーションを取らないとき、しばしば問題が生じる。,Part2,661,
occur,①生じる ②（to （人））（考えなどが（人）に）思いつく,自動詞,①An accident occurred on the highway. ②It occurred to me that I forgot my key.,①高速道路で事故が生じた。 ②鍵を忘れたことが私に思いついた。,Part2,662,
involve,①（be ―d in ～）（事件などに）巻き込まれる ②（be ―d in ～）（子育てなどに）参加する ③～を伴う,他動詞,①He was involved in the accident. ②She was involved in raising the kids. ③This work involves a lot of travel.,①彼はその事故に巻き込まれた。 ②彼女は子育てに参加していた。 ③この仕事は多くの出張を伴う。,Part2,663,
require,～を必要とする,他動詞,This job requires good communication skills.,この仕事は良いコミュニケーションスキルを必要とする。,Part2,664,
counterpart,（to ～）（～に）対応する［（～と）同等の］人［物，事］,名詞,The Japanese minister met with her counterpart from France.,日本の大臣はフランスの対応する人物と会った。,Part2,665,
advent,①到来 ②（the A―）キリストの降臨,名詞,The advent of the internet changed everything.,インターネットの到来がすべてを変えた。,Part2,666,
maintain,①～を維持する ②（that SV）（～）を（強く）主張する,他動詞,①We must maintain world peace. ②She maintained that she was innocent.,①世界平和を維持しなければならない。 ②彼女は無実だと強く主張した。,Part2,667,
last,①（時間的に）続く ②（服などが）長持ちする （the last ～）③この前の～，最後の～ ④もっとも～でない ⑤（at ―）ついに,自動詞,"①The movie lasted three hours. ②Good shoes last longer. ③I saw her last Monday. ④He is the last person to lie. ⑤At last, we arrived.",①映画は3時間続いた。 ②良い靴はより長持ちする。 ③先週の月曜日に彼女に会った。 ④彼は嘘をつくような人物では最もない。 ⑤ついに私たちは到着した。,Part2,668,
persist,①持続する，残る ②（in［with］～）（～を）貫く，（～に）固執する,自動詞,①The rain persisted all day. ②She persisted in her study.,①雨は一日中持続した。 ②彼女は勉強を貫いた。,Part2,669,
examine,①～を調査する ②～を検査する,他動詞,①He examined the patient carefully. ②Police examined the crime scene.,①彼は患者を丁寧に調査した。 ②警察は犯罪現場を調査した。,Part2,670,
gain,①～を増す ②～を得る ③利益，増加,他動詞,①She gained five kilograms. ②He gained a lot of experience. ③The investment led to financial gains.,①彼女は5キロ体重が増えた。 ②彼は多くの経験を得た。 ③投資が財政的な利益につながった。,Part2,671,
obtain,（資格，許可，情報など）を得る,他動詞,She obtained her driver's license last month.,彼女は先月運転免許証を得た。,Part2,672,
acquire,①～を習得する ②～を獲得する ③～を買収する,他動詞,①He acquired fluent French. ②The company acquired a rival firm. ③She acquired a large collection of art.,①彼は流暢なフランス語を習得した。 ②その会社はライバル会社を買収した。 ③彼女は大きな美術品のコレクションを獲得した。,Part2,673,
search,①（A for B)（B（物）を求めてA（場所））を捜す ②捜索，調査,他動詞,①Police searched the house for weapons. ②The search took three days.,①警察は武器を求めて家を捜索した。 ②捜索に3日かかった。,Part2,674,
logical,論理的な,形容詞,His argument is clear and logical.,彼の議論は明確で論理的だ。,Part2,675,
scholarship,①奨学金〈可算〉 ②学問、（人文科学の）学識〈不可算〉,名詞,①She won a full scholarship to study abroad. ②His work shows great scholarship.,①彼女は海外留学のための全額奨学金を獲得した。 ②彼の研究は深い学識を示している。,Part2,676,
instruction,（通例―s）指示,名詞,Follow the instructions on the box carefully.,箱の指示を注意深く従ってください。,Part2,677,
determine,①～を決める，～に大きく影響する ②（be ―d to do）～することを決意している ③（原因など）を特定する,他動詞,①Your effort will determine your results. ②She is determined to win. ③Scientists are trying to determine the cause.,①あなたの努力が結果を決める。 ②彼女は勝つことを決意している。 ③科学者たちは原因を特定しようとしている。,Part2,678,
conclude,①（that SV）～と結論を下す,他動詞,She concluded that the experiment was a success.,彼女は実験が成功だったと結論を下した。,Part2,679,
distinguish,～を区別する,他動詞,Can you distinguish between these two colors?,この2つの色を区別できますか？,Part2,680,
classify,～を分類する,他動詞,Animals are classified by their characteristics.,動物は特徴によって分類される。,Part2,681,
estimate,①～を推定する，見積もる ②（for ～）（～の）見積もり,他動詞,"①She estimated the cost at 50,000 yen. ②Can you give me an estimate for the repairs?","①彼女はコストを50,000円と推定した。 ②修理の見積もりをもらえますか？",Part2,682,
organize,①（考えなど）をまとめる ②～を組織化する，取りまとめる,他動詞,①She organized her notes before the exam. ②He organized a school trip.,①彼女は試験前にノートをまとめた。 ②彼は修学旅行を取りまとめた。,Part2,683,
recognize,①（知り合いなど）が誰だかわかる ②（that SV）～を認識する,他動詞,①I recognized her by her voice. ②He recognized that he had made a mistake.,①私は声で彼女が誰だかわかった。 ②彼は間違いを犯したことを認識した。,Part2,684,
suppose,①（be ―d to do）～することになっている ②～と思う，仮定する,他動詞,①You are supposed to wear a uniform. ②I suppose he forgot.,①制服を着ることになっている。 ②彼は忘れたと思う。,Part2,685,
assume,①～と思い込む，決めつける ②～を引き受ける,他動詞,①Don't assume everyone agrees. ②She assumed responsibility for the project.,①全員が賛成していると思い込まないでください。 ②彼女はプロジェクトの責任を引き受けた。,Part2,686,
care,①（否定文で）気にする ②世話をする ③世話，心配,自動詞,①I don't care what they think. ②She cared for her sick mother. ③Take care of your health.,①彼らが何を考えようと気にしない。 ②彼女は病気の母親の世話をした。 ③健康に気をつけてください。,Part2,687,
approve,①（of ～）（～を）認める，承認する ②～を承認する,自動詞,①She approved of his decision. ②The committee approved the plan.,①彼女は彼の決定を認めた。 ②委員会が計画を承認した。,Part2,688,
notice,①～に気がついている ②通知，掲示，注意,他動詞,①Did you notice anything strange? ②A notice on the door said 'Closed'.,①何か変なことに気がつきましたか？ ②ドアの掲示に「閉まっています」と書いてあった。,Part2,689,
aware,気づいている,形容詞,Are you aware of the risks involved?,関係するリスクに気づいていますか？,Part2,690,
conscious,①意識している，気づいている ②意識がある,形容詞,①She is very conscious of her diet. ②The patient is now conscious.,①彼女は自分の食事をとても意識している。 ②患者は今意識がある。,Part2,691,
concerned,①（with［about］～）（～に）関心を持っている，重視している ②（with ～）（～を）扱っている ③（about［for］～）（～を）懸念している,形容詞,①She is concerned with environmental issues. ②This chapter is concerned with grammar. ③I'm concerned about his health.,①彼女は環境問題に関心を持っている。 ②この章は文法を扱っている。 ③彼の健康を懸念している。,Part2,692,
regard,①（A as B）（A）を（B と）みなす ②（副詞を伴い）～を評価する ③（in ―）点 ④（―s）よろしくという挨拶,他動詞,"①We regard her as an expert. ②He is highly regarded by his students. ③In this regard, I agree with you. ④Please give my regards to your family.",①私たちは彼女を専門家とみなしている。 ②彼は生徒たちに高く評価されている。 ③この点では、あなたに同意します。 ④ご家族によろしく。,Part2,693,
commit,①（oneself to ～ / be ―ed to ～）～に専念する ②（A to B)（A）を（B に）委ねる，充てる ③（犯罪など）を犯す,他動詞,①She committed herself to the project. ②He committed all his time to studying. ③He committed a serious crime.,①彼女はプロジェクトに専念した。 ②彼は勉強にすべての時間を充てた。 ③彼は深刻な犯罪を犯した。,Part2,694,
doubt,①～を疑う ②（that SV）～とは思わない ③疑い,他動詞,①I doubt that he is telling the truth. ②I doubt that she will come. ③There is no doubt about it.,①彼が本当のことを言っているとは思わない。 ②彼女が来るとは思えない。 ③それについては疑いがない。,Part2,695,
memorize,～を暗記する,他動詞,She memorized all the irregular verbs.,彼女はすべての不規則動詞を暗記した。,Part2,696,
